Year,Player,GP,MIN,PTS,FGM,FGA,FGP,THREEPM,THREEPA,THREEPP,FTM,FTA,FTP,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1998,Tim Hardaway,81,37.4,18.9,6.9,16,43.1,1.9,5.5,35.1,3.2,4.1,78.1,0.6,3.1,3.7,8.3,1.7,0.2,2.8,20
1998,Kevin Garnett,82,39.3,18.5,7.7,15.8,49.1,0,0.2,18.8,3,4,73.8,2.7,6.9,9.6,4.2,1.7,1.8,2.3,24.4
1998,Allan Houston,82,34.7,18.4,7,15.6,44.7,1,2.6,38.5,3.5,4.1,85.1,0.5,2.8,3.3,2.6,0.8,0.3,2.4,13.7
1998,Clyde Drexler,70,35.3,18.4,6.5,15.1,42.7,1.5,4.8,31.7,4,4.9,80.1,1.5,3.4,4.9,5.5,1.8,0.6,2.7,18.8
1998,Shawn Kemp,80,34.6,18,6.5,14.6,44.5,0,0.1,25,5.1,7,72.7,2.7,6.6,9.3,2.5,1.4,1.1,3.4,18.9
1998,Rod Strickland,76,39.7,17.8,6.4,14.9,43.4,0.2,0.6,25,4.7,6.5,72.6,1.5,3.9,5.3,10.5,1.7,0.3,3.5,21.9
1998,Corliss Williamson,79,35.7,17.7,7.1,14.4,49.5,0,0.1,0,3.5,5.6,63,2.1,3.6,5.6,2.9,1,0.6,2.5,16
1998,Stephon Marbury,82,38,17.7,6.3,15.1,41.5,1.2,3.7,31.3,4,5.5,73.1,0.7,2.1,2.8,8.6,1.3,0.1,3.1,17
1998,Damon Stoudamire,71,40,17.3,6.3,15.4,41.1,1.3,4.3,29.9,3.4,4,82.9,1.2,3,4.2,8.2,1.6,0.1,3.1,18.4
1998,Kerry Kittles,77,36.5,17.2,6.6,15,44,1.4,3.4,41.8,2.6,3.2,80.8,1.7,3,4.7,2.3,1.7,0.5,1.4,16
2017,Russell Westbrook,81,34.6,31.6,10.2,24,42.5,2.5,7.2,34.3,8.8,10.4,84.5,1.7,9,10.7,10.4,1.6,0.4,5.4,33.8
2017,James Harden,81,36.4,29.1,8.3,18.9,44,3.2,9.3,34.7,9.2,10.9,84.7,1.2,7,8.1,11.2,1.5,0.5,5.7,32.4
2017,Isaiah Thomas,76,33.8,28.9,9,19.4,46.3,3.2,8.5,37.9,7.8,8.5,90.9,0.6,2.1,2.7,5.9,0.9,0.2,2.8,24.7
2017,Anthony Davis,75,36.1,28,10.3,20.3,50.5,0.5,1.8,29.9,6.9,8.6,80.2,2.3,9.5,11.8,2.1,1.3,2.2,2.4,31.1
2017,DeMar DeRozan,74,35.4,27.3,9.7,20.9,46.7,0.4,1.7,26.6,7.4,8.7,84.2,0.9,4.3,5.2,3.9,1.1,0.2,2.4,22.7
2017,Damian Lillard,75,35.9,27,8.8,19.8,44.4,2.9,7.7,37,6.5,7.3,89.5,0.6,4.3,4.9,5.9,0.9,0.3,2.6,24.5
2017,DeMarcus Cousins,72,34.2,27,9,19.9,45.2,1.8,5,36.1,7.2,9.3,77.2,2.1,8.9,11,4.6,1.4,1.3,3.7,28.5
2017,LeBron James,74,37.8,26.4,9.9,18.2,54.8,1.7,4.6,36.3,4.8,7.2,67.4,1.3,7.3,8.6,8.7,1.2,0.6,4.1,31
2017,Kawhi Leonard,74,33.4,25.5,8.6,17.7,48.5,2,5.2,38,6.3,7.2,88,1.1,4.7,5.8,3.5,1.8,0.7,2.1,25.3
2017,Stephen Curry,79,33.4,25.3,8.5,18.3,46.8,4.1,10,41.1,4.1,4.6,89.8,0.8,3.7,4.5,6.6,1.8,0.2,3,25.2
2017,Kyrie Irving,72,35.1,25.2,9.3,19.7,47.3,2.5,6.1,40.1,4.1,4.6,90.5,0.7,2.5,3.2,5.8,1.2,0.3,2.5,22.4
2017,Karl-Anthony Towns,82,37,25.1,9.8,18,54.2,1.2,3.4,36.7,4.3,5.2,83.2,3.6,8.7,12.3,2.7,0.7,1.3,2.6,30.3
2017,Kevin Durant,62,33.4,25.1,8.9,16.5,53.7,1.9,5,37.5,5.4,6.2,87.5,0.6,7.6,8.3,4.8,1.1,1.6,2.2,30.2
2017,Jimmy Butler,76,37,23.9,7.5,16.5,45.5,1.2,3.3,36.7,7.7,8.9,86.5,1.7,4.5,6.2,5.5,1.9,0.4,2.1,25.6
2017,Paul George,75,35.9,23.7,8.3,18,46.1,2.6,6.6,39.3,4.5,5,89.8,0.8,5.8,6.6,3.3,1.6,0.4,2.9,22.4
2017,Andrew Wiggins,82,37.2,23.6,8.6,19.1,45.2,1.3,3.5,35.6,5,6.6,76,1.2,2.8,4,2.3,1,0.4,2.3,16.9
2017,Kemba Walker,79,34.7,23.2,8.1,18.3,44.4,3,7.6,39.9,3.8,4.5,84.7,0.6,3.3,3.9,5.5,1.1,0.3,2.1,20.9
2017,John Wall,78,36.4,23.1,8.3,18.4,45.1,1.1,3.5,32.7,5.4,6.8,80.1,0.8,3.4,4.2,10.7,2,0.6,4.1,25
2017,Bradley Beal,77,34.9,23.1,8.3,17.2,48.2,2.9,7.2,40.4,3.7,4.4,82.5,0.7,2.4,3.1,3.5,1.1,0.3,2,19.3
2017,CJ McCollum,80,35,23,8.7,18,48,2.3,5.5,42.1,3.4,3.7,91.2,0.8,2.9,3.6,3.6,0.9,0.5,2.2,19.7
2017,Giannis Antetokounmpo,80,35.6,22.9,8.2,15.7,52.1,0.6,2.3,27.2,5.9,7.7,77,1.8,7,8.8,5.4,1.6,1.9,2.9,28.4
2017,Carmelo Anthony,74,34.3,22.4,8.1,18.8,43.3,2,5.7,35.9,4.1,4.9,83.3,0.8,5.1,5.9,2.9,0.8,0.5,2.1,19
