"","Year","Team","ThreeOrTwo","FGA"
"122",2000,"Detroit Pistons","THREEPA",14.9
"123",2000,"Dallas Mavericks","THREEPA",16.2
"124",2000,"Indiana Pacers","THREEPA",18.1
"125",2000,"Milwaukee Bucks","THREEPA",13
"126",2000,"Los Angeles Lakers","THREEPA",12.8
"127",2000,"Orlando Magic","THREEPA",10.6
"128",2000,"Houston Rockets","THREEPA",19.8
"129",2000,"Boston Celtics","THREEPA",15.4
"130",2000,"Seattle SuperSonics","THREEPA",19.6
"131",2000,"Denver Nuggets","THREEPA",17
"132",2000,"Phoenix Suns","THREEPA",15.2
"133",2000,"Minnesota Timberwolves","THREEPA",8.7
"134",2000,"Charlotte Hornets","THREEPA",12.2
"135",2000,"New Jersey Nets","THREEPA",16.8
"136",2000,"Portland Trail Blazers","THREEPA",13.8
"137",2000,"Toronto Raptors","THREEPA",14.3
"138",2000,"Cleveland Cavaliers","THREEPA",11.2
"139",2000,"Washington Wizards","THREEPA",10.9
"140",2000,"Utah Jazz","THREEPA",10.4
"141",2000,"San Antonio Spurs","THREEPA",10.8
"142",2000,"Golden State Warriors","THREEPA",13
"143",2000,"Philadelphia 76ers","THREEPA",7.8
"144",2000,"Miami Heat","THREEPA",14.7
"145",2000,"Atlanta Hawks","THREEPA",9.9
"146",2000,"Vancouver Grizzlies","THREEPA",11
"147",2000,"New York Knicks","THREEPA",11.4
"148",2000,"Los Angeles Clippers","THREEPA",15.5
"149",2000,"Chicago Bulls","THREEPA",12.6
"150",2000,"League Average","THREEPA",13.7
"151",2001,"Sacramento Kings","THREEPA",16.5
"152",2001,"Milwaukee Bucks","THREEPA",18.1
"153",2001,"Los Angeles Lakers","THREEPA",15.5
"154",2001,"Dallas Mavericks","THREEPA",16.5
"155",2001,"Toronto Raptors","THREEPA",14.2
"156",2001,"Orlando Magic","THREEPA",16.4
"157",2001,"Minnesota Timberwolves","THREEPA",11
"158",2001,"Seattle SuperSonics","THREEPA",14.3
